"school_name";"koreaS_code";"school_code"
"관인초등학교";"J10";7711019
"광교고등학교";"J10";7531040
"광교중학교";"J10";7541332
"광교초등학교";"J10";7541329
"광교호수중학교";"J10";7541405
"광교호수초등학교";"J10";7541399
"광남고등학교";"J10";7530885
"광남중학교";"J10";7591004
"광남초등학교";"J10";7692006
"광덕고등학교";"J10";7530934
"광덕중학교";"J10";7611129
"광덕초등학교";"J10";7761018
"광동고등학교";"J10";7530542
"광동중학교";"J10";7652013
"광릉중학교";"J10";7652163
"광릉초등학교";"J10";7652014
"광명고등학교";"J10";7530050
"광명광덕초등학교";"J10";7591015
"광명광성초등학교";"J10";7591016
"광명남초등학교";"J10";7591018
"광명동초등학교";"J10";7591019
"광명북고등학교";"J10";7530051
"광명북중학교";"J10";7591005
"광명북초등학교";"J10";7591020
"광명서초등학교";"J10";7591021
"광명중학교";"J10";7591006
"광명중학교부설방송통신중학교";"J10";7591094
"광명초등학교";"J10";7591017
"광문고등학교";"J10";7530053
"광문중학교";"J10";7591007
"광문초등학교";"J10";7591022
"광사초등학교";"J10";7602120
"광선초등학교";"J10";7761019
"광성드림학교";"J10";7621331
"광성드림학교(고)";"J10";7531400
"광성초등학교";"J10";7679077
"광수중학교";"J10";7692040
"광숭초등학교";"J10";7602008
"광일중학교";"J10";7692041
"광일초등학교";"J10";7591023
"광정초등학교";"J10";7642007
"광주고등학교";"J10";7530521
"광주광남중학교";"J10";7692047
"광주광명초등학교";"J10";7692007
"광주도평초등학교";"J10";7692008
"광주매곡초등학교";"J10";7692009
"광주새롬학교";"J10";7531271
"광주송정초등학교";"J10";7692194
"광주중앙고등학교";"J10";7530786
"광주중학교";"J10";7692042
"광주초등학교";"J10";7692010
"광주푸른초등학교";"J10";7692188
"광지원초등학교";"J10";7692011
"광탄고등학교";"J10";7530838
"광탄중학교";"J10";7681012
"광휘고등학교";"J10";7531100
"교동초등학교";"J10";7751065
"교문중학교";"J10";7652016
"교문초등학교";"J10";7652017
"교하고등학교";"J10";7530774
"교하중학교";"J10";7681004
"교하초등학교";"J10";7681026
"구갈중학교";"J10";7751018
"구갈초등학교";"J10";7751066
"구룡초등학교";"J10";7652167
"구름산초등학교";"J10";7591087
"구리고등학교";"J10";7530054
"구리여자고등학교";"J10";7530055
"구리여자중학교";"J10";7652019
"구리중학교";"J10";7652020
"구리초등학교";"J10";7652021
"구미중학교";"J10";7551011
"구미초등학교";"J10";7551050
"구봉초등학교";"J10";7679012
"구성고등학교";"J10";7530611
"구성중학교";"J10";7751019
"구성초등학교";"J10";7751067
"구운중학교";"J10";7541015
"구운초등학교";"J10";7541070
"구지초등학교";"J10";7652023
"국수중학교";"J10";7731006
"군남중학교";"J10";7701004
"군남초등학교";"J10";7701010
"군내초등학교";"J10";7681027
"군문초등학교";"J10";7631066
"군서고등학교";"J10";7530766
"군서미래국제학교";"J10";7781166
"군서미래국제학교(초)";"J10";7781177
"군서초등학교";"J10";7781021
"군자디지털과학고등학교";"J10";7531293
"군자중학교";"J10";7781004
"군자초등학교";"J10";7781020
"군포e비즈니스고등학교";"J10";7530902
"군포고등학교";"J10";7530148
"군포대야초등학교";"J10";7642075
"군포신기초등학교";"J10";7642128
"군포양정초등학교";"J10";7642008
"군포옥천초등학교";"J10";7642009
"군포중앙고등학교";"J10";7531272
"군포중학교";"J10";7642038
"군포초등학교";"J10";7642010
"군포화산초등학교";"J10";7642011
"궁내중학교";"J10";7642039
"궁내초등학교";"J10";7642012
"궁평초등학교";"J10";7701011
"권선고등학교";"J10";7530057
"권선중학교";"J10";7541016
"권선초등학교";"J10";7541071
"귀인중학교";"J10";7569056
"귀인초등학교";"J10";7569013
"근명고등학교";"J10";7531381
"근명중학교";"J10";7569110
"금계초등학교";"J10";7621051
"금곡고등학교";"J10";7530629
"금곡중학교";"J10";7652025
"금광중학교";"J10";7551012
"금광초등학교";"J10";7761020
"금교초등학교";"J10";7652026
"금남초등학교";"J10";7652028
"금당초등학교";"J10";7661019
"금란초등학교";"J10";7771019
"금릉중학교";"J10";7681003
